id,name,description,ruling,reason,variations
cocoa-paste,Cocoa Paste,A paste made from ground cocoa solids and cocoa butter.,halal,Cocoa paste is derived from cocoa beans and does not contain any haram ingredients.,['cocoa paste']
coconut-flour,Coconut Flour,A flour produced from dried coconut meat.,halal,Coconut flour is derived from coconut and does not contain any haram ingredients.,['coconut flour']
cocoa-butter,Cocoa Butter,The fat extracted from cocoa beans.,halal,Cocoa butter is derived from cocoa beans and does not contain any haram ingredients.,['cocoa butter']
cocoyam-tannia-flour,Cocoyam Tannia Flour,"Flour made from cocoyam tannia, a starchy root vegetable.",halal,Cocoyam tannia flour is derived from a plant source and does not contain any haram ingredients.,"['cocoyam tannia flour', 'tannia flour', 'cocoyam flour']"
collagen,Collagen,"A protein found in animal tissues, used in supplements and food products.",uncertain,"Collagen can be derived from halal (e.g., halal-slaughtered bovine or fish) or haram sources (e.g., porcine or non-halal-slaughtered animals). Without knowing the source, it is uncertain.","['collagen', 'hydrolyzed collagen']"
collagen-peptides,Collagen Peptides,"Hydrolyzed form of collagen, used in supplements and food products.",uncertain,"Collagen peptides are derived from collagen, which can be sourced from halal (e.g., halal-slaughtered bovine or fish) or haram sources (e.g., porcine or non-halal-slaughtered animals). Without knowing the source, it is uncertain.","['collagen peptides', 'hydrolyzed collagen peptides']"
cod-liver-oil,Cod Liver Oil,"Oil extracted from cod livers, rich in omega-3 fatty acids and vitamins.",halal,"Cod liver oil is derived from fish, which is considered halal.","['cod liver oil', 'fish oil']"
coconut-sugar,Coconut Sugar,A sweetener derived from the sap of coconut palm trees.,halal,Coconut sugar is derived from a plant source and does not contain any haram ingredients.,"['coconut sugar', 'coconut palm sugar']"
cocoyam-flour,Cocoyam Flour,"Flour made from cocoyam, a starchy root vegetable.",halal,Cocoyam flour is derived from a plant source and does not contain any haram ingredients.,['cocoyam flour']
coffee-extract,Coffee Extract,"Concentrated form of coffee, used for flavoring.",halal,Coffee extract is derived from coffee beans and does not contain any haram ingredients.,['coffee extract']
coffee-flour,Coffee Flour,Flour made from coffee fruit pulp.,halal,Coffee flour is derived from coffee fruit pulp and does not contain any haram ingredients.,['coffee flour made from coffee fruit pulp']
coconut-oil,Coconut Oil,Oil extracted from the kernel or meat of mature coconuts.,halal,Coconut oil is derived from a plant source and does not contain any haram ingredients.,['coconut oil']
copper-sulfate,Copper Sulfate,"An inorganic salt used as a fungicide, algaecide, and in some dietary supplements. It can also be used as a mordant in dyeing and in the production of other copper compounds.",halal,"Copper sulfate is a mineral salt and does not contain any animal derivatives or prohibited substances, thus it is considered halal.","['copper sulphates', 'copperii sulfate', 'copper sulphate', 'copper sulfate']"
coloring,Coloring,A food additive used to impart color to food or drink. Colorings can be natural or artificial.,uncertain,"The ruling depends on the source and composition of the coloring. Some colorings are halal, while others may contain haram ingredients (e.g., gelatin, carmine from insects). Without knowing the specific type and source, it is uncertain.","['coloring', 'food coloring', 'colouring', 'food colourings']"
condiment-mix,Condiment Mix,"A blend of spices, herbs, and other ingredients used to flavor food.",uncertain,"The halal status depends on the ingredients used in the mix. It is necessary to ensure that all components are halal, with no haram additives or cross-contamination.","['condiment mix', 'seasoning mix']"
confectioners-glaze,Confectioners Glaze,A resinous glaze applied to confectionery to provide a glossy coating.,uncertain,"Confectioner's glaze often contains shellac, which is derived from insects. Some Islamic scholars consider shellac and similar insect-derived products permissible, while others do not. Therefore, its halal status is uncertain.","['confectioners glaze', ""confectioner's glaze"", 'shellac', 'resin glaze', 'E904']"
condensed-milk,Condensed Milk,"Cow's milk from which water has been removed. It is most often found with sugar added, in the form of sweetened condensed milk (SCM), to the point that the terms 'condensed milk' and 'sweetened condensed milk' are often used interchangeably today.",halal,"Condensed milk is typically made from milk and sugar. As long as the milk is sourced from halal animals and no haram additives are included during processing, it is considered halal.","['condensed milk', 'sweetened condensed milk']"
corn-oil,Corn Oil,Vegetable oil extracted from corn kernels.,halal,Corn oil is derived from a plant source and does not contain any haram ingredients.,"['corn-oil', 'maize oil']"
corn-starch,Corn Starch,A starch derived from corn.,halal,Corn starch is derived from a plant source and does not contain any haram ingredients.,"['corn-starch', 'cornstarch', 'maize starch']"
cotton-candy-flavor,Cotton Candy Flavor,Artificial or natural flavoring that replicates the taste of cotton candy.,uncertain,"The halal status depends on the ingredients used in the flavoring. If the flavoring contains alcohol or extracts from non-halal animal sources, it is haram. Otherwise, it is halal.","['cotton-candy-flavor', 'cotton candy flavour', 'artificial cotton candy flavor', 'natural cotton candy flavor']"
corn-syrup-solids,Corn Syrup Solids,Dried corn syrup.,halal,Corn syrup solids are derived from corn and do not contain any haram ingredients.,"['corn-syrup-solids', 'corn syrup solids']"
cottonseed-oil,Cottonseed Oil,Vegetable oil extracted from the seeds of cotton plants.,halal,Cottonseed oil is derived from a plant source and does not contain any haram ingredients.,"['cottonseed-oil', 'cotton seed oil']"
corn-syrup,Corn Syrup,A syrup made from the hydrolysis of corn starch.,halal,Corn syrup is derived from corn and does not contain any haram ingredients.,"['corn-syrup', 'corn syrup']"
cream-powder,Cream Powder,"A dehydrated form of cream, often used in instant products and baking.",uncertain,"The halal status depends on the source of the cream and any additives used in the powdering process. If the cream is derived from halal-slaughtered animals and the additives are halal, it is permissible. Otherwise, it is uncertain.","['cream powder', 'powdered cream']"
cryptoxanthin,Cryptoxanthin,"A natural carotenoid pigment found in various plants and fruits, used as a food coloring agent.",halal,Cryptoxanthin is typically extracted from plant sources and is considered halal unless the extraction process involves haram substances.,"['cryptoxanthin', 'E161c']"
crab-extract,Crab Extract,"A concentrated flavoring derived from crab, used to impart a seafood taste to dishes.",uncertain,"While seafood is generally considered halal, some schools of Islamic thought have differing opinions on the permissibility of crab. Therefore, it is best to consider it uncertain.","['crab extract', 'crab flavoring']"
culture,Culture,"Microorganisms (bacteria, yeast, or molds) grown in a medium to produce various food products like yogurt, cheese, and fermented foods.",halal,Cultures used in food production are generally considered halal if the growth medium and the microorganisms themselves are free from haram substances.,"['culture', 'starter culture', 'bacterial culture']"
cream-of-tartar,Cream of Tartar,"A byproduct of wine production, used as a leavening agent and stabilizer in baking.",halal,"Cream of tartar is a natural acid salt and a byproduct of winemaking. Since it is purified and does not contain alcohol, it is considered halal.","['cream of tartar', 'potassium bitartrate', 'potassium hydrogen tartrate']"
csl,Corn Steep Liquor,"A byproduct of corn wet-milling, used as a nutrient source in fermentation processes.",halal,CSL is derived from corn and is generally considered halal unless the fermentation process involves haram substances.,"['csl', 'corn steep liquor']"
crosslinked-starch,Crosslinked Starch,"A modified starch used as a thickener, stabilizer, or binder in food products.",halal,"Crosslinked starch is typically derived from halal sources like corn, tapioca, or potato. As long as the crosslinking process does not involve haram substances, it is considered halal.","['crosslinked starch', 'modified starch']"
cowpea-flour,Cowpea Flour,"Flour made from ground cowpeas, a type of legume.",halal,Cowpea flour is derived from a plant source and is considered halal.,"['cowpea flour', 'black-eyed pea flour']"
cyanocobalamin,Cyanocobalamin,A synthetic form of vitamin B12 used in dietary supplements and food fortification.,halal,Cyanocobalamin is synthetically produced and does not contain any haram ingredients.,"['cyanocobalamin', 'vitamin b12']"
dairy-solids,Dairy Solids,"The components of milk remaining after the removal of water, including lactose, protein, and minerals.",halal,"Dairy solids are derived from milk, which is considered halal. However, the halal status depends on the source animal and processing methods.","['dairy solids', 'milk solids']"
cyclamic-acid,Cyclamic Acid and Salts,Artificial sweeteners used in food and beverages.,halal,Cyclamic acid and its salts are synthetically produced and do not contain any haram ingredients.,"['cyclamic acids and salts', 'cyclamate', 'E952', 'cyclamic acid']"
dairy-protein,Dairy Protein,"Proteins derived from milk, such as whey and casein.",halal,"Dairy proteins are derived from milk, which is considered halal. However, the halal status depends on the source animal and processing methods.","['dairy protein', 'milk protein', 'whey protein', 'casein']"
cysteine,Cysteine,"A non-essential amino acid that can be sourced from various origins, including human hair, feathers, or synthesized.",uncertain,"Cysteine can be derived from human hair which is considered haram. If it is plant based or synthetic, then it is halal.","['cysteine', 'l-cysteine']"
curcumin,Curcumin,"A natural pigment extracted from turmeric roots, used as a food coloring and flavoring agent.",halal,"Curcumin is derived from turmeric, which is a halal plant source.","['curcumin', 'turmeric extract', 'E100']"
cysteine-hydrochloride,Cysteine Hydrochloride,An amino acid salt used as a food additive.,uncertain,"Cysteine can be derived from human hair which is considered haram. If it is plant based or synthetic, then it is halal.","['cysteine hydrochloride', 'l-cysteine hydrochloride']"
dark-rye,Dark Rye,A type of rye grain that has a darker color and a more robust flavor compared to light rye.,halal,Dark rye is a grain and is considered halal unless it is mixed with haram ingredients during processing.,['dark rye']
dehydroacetic-acid,Dehydroacetic Acid,A preservative used to prevent the growth of bacteria and fungi.,uncertain,The halal status of dehydroacetic acid is uncertain due to limited information on its production process and potential use of non-halal ingredients or processing aids.,['dehydroacetic acid']
date-seed-flour,Date Seed Flour,"Flour made from ground date seeds, used as a food additive or ingredient.",halal,"Date seed flour is derived from date seeds, which are considered halal. The flour is halal unless contaminated with haram ingredients during processing.",['date seed flour']
defatted-soy-flour,Defatted Soy Flour,"Soy flour with the fat removed, used in baking and as a protein supplement.",halal,"Defatted soy flour is derived from soybeans, which are considered halal. The flour is halal unless contaminated with haram ingredients during processing.",['defatted soy flour']
dehydrated-potato,Dehydrated Potato,"Potatoes that have been dried to remove moisture, often used in instant mashed potatoes and other processed foods.",halal,"Dehydrated potato is derived from potatoes, which are considered halal. The product is halal unless haram ingredients are added during processing.",['dehydrated potato']
dark-rye-flour,Dark Rye Flour,Flour made from dark rye grains.,halal,Dark rye flour is a grain and is considered halal unless it is mixed with haram ingredients during processing.,['dark rye flour']
datem,Diacetyl Tartaric Acid Esters of Monoglycerides,A synthetic emulsifier made from vegetable oils and tartaric acid. It is used to strengthen gluten in dough.,uncertain,"The halal status depends on the source of the glycerides. If they are from a halal source, then it is halal. If they are from a non-halal source, then it is haram. Without knowing the source, it is uncertain.","['diacetyl tartaric acid ester of monoglycerides', 'datem', 'e472e']"
dextrose,Dextrose,A simple sugar derived from corn or wheat. It is used as a sweetener and energy source.,halal,Dextrose is a sugar derived from plant sources and is halal unless produced using haram processes or contaminated with haram substances.,"['dextrose', 'glucose']"
demineralized-whey,Demineralized Whey,Whey with minerals removed. It is a byproduct of cheese production.,halal,"Demineralized whey is a byproduct of cheese production. As long as the cheese-making process uses halal enzymes and ingredients, the resulting whey is considered halal.",['demineralized whey']
dextrose-curing,Dextrose Curing,The use of dextrose in the curing process of meats.,halal,Dextrose itself is halal. The curing process is halal if halal ingredients are used.,['dextrose curing']
demerara-sugar,Demerara Sugar,"A type of raw cane sugar with large, amber-colored crystals and a toffee-like flavor.",halal,Demerara sugar is a type of sugar derived from sugarcane and is halal unless produced using haram processes or contaminated with haram substances.,['demerara sugar']
dextrin,Dextrin,A group of low-molecular-weight carbohydrates produced by the hydrolysis of starch. It is used as a thickener and adhesive.,halal,Dextrin is derived from plant-based starches and is halal unless produced using haram processes or contaminated with haram substances.,['dextrin']
dichlorodifluoromethane,Dichlorodifluoromethane,A chlorofluorocarbon (CFC) that was used as a refrigerant. Its use is now restricted due to environmental concerns.,uncertain,The Halal status is uncertain due to limited information on its production and ingredients. Further investigation is needed to confirm its Halal compliance.,"['dichlorodifluoromethane', 'freon 12', 'r-12']"
dimethylpolysiloxane,Dimethylpolysiloxane,"A type of silicone polymer used as an anti-foaming agent, sealant, and lubricant in various food and non-food applications.",uncertain,The Halal status is uncertain due to variations in manufacturing processes and potential use of non-halal processing aids. Further investigation is needed to ensure that all components and processes are Halal-compliant.,"['dimethylpolysiloxane', 'dimethicone', 'e900', 'silicone oil']"
dipotassium-phosphate,Dipotassium Phosphate,"A water-soluble salt used as a food additive, buffer, and nutrient supplement.",halal,Dipotassium phosphate is generally considered halal as it is a synthetic compound made from mineral sources and does not contain any animal-derived ingredients.,"['dipotassium phosphate', 'k2hpo4', 'dibasic potassium phosphate']"
disodium-5-ribonucleotides,Disodium 5'-Ribonucleotides,A flavor enhancer that is a mixture of disodium inosinate (IMP) and disodium guanylate (GMP).,uncertain,"The Halal status is uncertain because the source of the ribose (sugar component) used in production can vary. If derived from non-halal sources (e.g., certain animal by-products), it would be considered haram.","[""disodium 5'-ribonucleotides"", 'disodium 5-ribonucleotides', 'e635', 'flavor enhancer e635']"
dimethyl-dicarbonate,Dimethyl Dicarbonate,"A chemical sterilant and preservative used in beverages, particularly wine and juice.",uncertain,The Halal status is uncertain due to limited information on the manufacturing process and potential use of non-halal processing aids. Further investigation is needed to confirm its Halal compliance.,"['dimethyl dicarbonate', 'dmc', 'velcorin']"
dinkel-wheat,Dinkel Wheat,"A type of wheat closely related to common wheat, used in baking and other food products.",halal,Dinkel wheat is a natural grain and is considered halal as long as it is not contaminated with any haram substances during processing or preparation.,"['dinkel wheat', 'spelt', 'scalded wheat']"
diphosphates,Diphosphates,"A group of food additives used as buffering agents, emulsifiers, and sequestrants.",halal,Diphosphates are generally considered halal as they are produced from mineral sources and do not contain any animal-derived ingredients.,"['diphosphates', 'e450', 'pyrophosphates']"
disodium-guanylate,Disodium Guanylate,A flavor enhancer that is a salt of guanylic acid.,uncertain,"The Halal status is uncertain because it can be derived from both plant and animal sources. If derived from non-halal animal sources, it is considered haram.","['disodium guanylate', 'e627', 'sodium guanylate']"
disodium-inosinate,Disodium Inosinate,A flavor enhancer that is a disodium salt of inosinic acid. It is commonly used in conjunction with monosodium glutamate (MSG).,halal,"Disodium inosinate is typically derived from meat or fish, but it can also be produced by bacterial fermentation of sugars. If derived from halal sources or produced through bacterial fermentation, it is considered halal.","['disodium inosinate', 'E631', ""inosine 5'-disodium phosphate"", ""disodium 5'-inosinate"", 'disodium inosinate imp']"
distilled-vinegar,Distilled Vinegar,A clear vinegar made by the fermentation and subsequent distillation of ethanol.,halal,"Distilled vinegar is produced from the fermentation of ethanol, which can be derived from various sources. As long as the ethanol is not derived from haram sources (such as alcohol) and the process does not involve any haram substances, it is considered halal.","['distilled vinegar', 'spirit vinegar']"
dodecyl-gallate,Dodecyl Gallate,An antioxidant used as a food additive to prevent fats and oils from spoiling.,uncertain,"The source of gallic acid used to produce dodecyl gallate needs to be verified. If the gallic acid is derived from halal sources, then it is halal. Otherwise, it will be haram or uncertain.","['dodecyl gallate', 'E312', 'lauryl gallate']"
disodium-pyrophosphate,Disodium Pyrophosphate,"A leavening agent, buffering agent, and sequestrant used in food processing.",halal,Disodium pyrophosphate is a synthetic ingredient and is generally considered halal as it does not contain any animal-derived ingredients or alcohol.,"['disodium pyrophosphate', 'E450(a)', 'sodium acid pyrophosphate', 'sodiuim pyrophosphate', 'diphosphates']"
dripping,Dripping,Animal fat rendered from meat during cooking.,uncertain,"The halal status depends on the animal source. If the animal is halal and slaughtered according to Islamic guidelines, it is halal. Otherwise, it is haram.","['dripping', 'animal fat']"
dried-shrimp-powder,Dried Shrimp Powder,"Powdered form of dried shrimp, used as a flavoring agent.",halal,Shrimp and other seafood are considered halal.,"['dried shrimp powder', 'shrimp powder']"
duck-fat,Duck Fat,"Fat rendered from ducks, used in cooking.",halal,"Duck is generally considered halal, so its fat is halal as well, provided it is not mixed with any haram ingredients.",['duck fat']
durum-flour,Durum Flour,"A type of wheat flour made from durum wheat, used to make pasta and bread.",halal,Durum flour is derived from wheat and is considered halal.,"['durum flour', 'durum wheat flour', 'semolina flour']"
e101,Riboflavin,"Also known as Vitamin B2, it is a water-soluble vitamin and a food coloring agent.",halal,"Riboflavin (E101) is typically produced synthetically or through microbial fermentation, and is considered halal unless the production process involves haram substances.","['e101', 'riboflavin', 'vitamin b2']"
dough-enhancer,Dough Enhancer,"A mixture of ingredients added to dough to improve its texture, rise, and overall quality.",uncertain,"The halal status depends on the ingredients used in the dough enhancer. It may contain enzymes, emulsifiers, or other ingredients that could be of animal origin. If all ingredients are halal, then it is halal; otherwise, it is haram or uncertain.","['dough enhancer', 'bread improver']"
dried-whey,Dried Whey,"The dried form of whey, a byproduct of cheese production.",halal,"Whey is a byproduct of cheese production, which is halal if the cheese-making process uses halal enzymes and ingredients.","['dried whey', 'whey powder']"
e103,Chrysoine S,A synthetic food dye.,haram,It is a synthetic color and some synthetic colors are considered haram due to the usage of haram animal products or derivatives during manufacturing.,"['e103', 'chrysoine s', 'acid yellow 36', 'food yellow 8']"
e104,Quinoline Yellow,A synthetic food dye.,uncertain,The halal status of quinoline yellow is uncertain due to conflicting opinions and the possibility of non-halal ingredients being used in its production.,"['e104', 'quinoline yellow', 'food yellow 13', 'acid yellow 3']"
e106,Riboflavin-5'-Phosphate,A food dye.,uncertain,"The source of the ingredients used to produce Riboflavin-5'-Phosphate is not always clear. It can be produced synthetically or from plant or animal sources. Without knowing the source, it is difficult to determine if it is halal.","['e106', ""riboflavin-5'-phosphate"", 'riboflavin-5-phosphate', 'riboflavin phosphate', 'flavin mononucleotide', 'fmn']"
e105,Fast Yellow AB,A synthetic food dye.,haram,Fast Yellow AB is a synthetic azo dye that is prohibited for use in food in many countries due to health concerns. Some synthetic colors are considered haram due to the usage of haram animal products or derivatives during manufacturing.,"['e105', 'fast yellow ab']"
e107,Yellow 2G,A synthetic food dye.,haram,Some synthetic colors are considered haram due to the usage of haram animal products or derivatives during manufacturing.,"['e107', 'yellow 2g', 'food yellow 5']"
e102,Tartrazine,A synthetic lemon yellow azo dye.,uncertain,The halal status of tartrazine is uncertain due to conflicting opinions and the possibility of non-halal ingredients being used in its production.,"['e102', 'tartrazine', 'fd&c yellow 5', 'food yellow 4']"
e110,Sunset Yellow FCF,A synthetic food dye.,uncertain,The halal status of sunset yellow fcf is uncertain due to conflicting opinions and the possibility of non-halal ingredients being used in its production.,"['e110', 'sunset yellow fcf', 'fd&c yellow 6', 'food yellow 3']"
e111,Annatto,A natural food coloring derived from the seeds of the achiote tree.,halal,Annatto is a natural plant-derived coloring agent and is considered halal.,"['e111', 'annatto', 'achiote', 'natural color e160b', 'anato']"
citrus-red-2,Citrus Red 2,A synthetic red dye used to color orange peels.,uncertain,The halal status is uncertain due to lack of information on the manufacturing process and potential use of non-halal ingredients.,"['e121', 'citrus red 2']"
e125,Ponceau SX,A synthetic azo dye. It is a red food color.,haram,Ponceau SX is not permitted for use in food in many countries due to health concerns.,"['ponceau-sx', 'e125']"
e128,Red 2G,A synthetic azo dye used as a food coloring.,haram,Red 2G has been banned in several countries due to concerns about the release of carcinogenic substances.,"['red-2g', 'e128']"
e124,Ponceau 4R,A synthetic azo dye used as a food coloring. It produces a red color.,uncertain,The halal status is uncertain due to conflicting opinions and the possibility of animal-derived ingredients being used in its production.,"['ponceau-4r', 'e124', 'cochineal-red-a', 'c.i.-16255']"
e126,Ponceau 6R,A synthetic red food dye.,haram,Ponceau 6R is prohibited as a food additive in many countries due to safety concerns.,"['ponceau-6r', 'e126']"
e130,Indanthrene Blue RS,A blue dye. It is not typically used in food.,uncertain,Its halal status is uncertain due to lack of information on its ingredients and manufacturing process.,"['indanthrene-blue-rs', 'e130']"
e131,Patent Blue V,A synthetic food coloring. It is a dark blue dye.,uncertain,The halal status is uncertain due to the possibility of animal-derived ingredients being used in its production.,"['patent-blue-v', 'e131']"
e127,Erythrosine,A synthetic food coloring. It is a pink dye.,uncertain,The halal status is uncertain due to conflicting opinions and the possibility of animal-derived ingredients being used in its production.,"['erythrosine', 'e127']"
e143,Green S,A synthetic food dye.,uncertain,"The halal status of Green S (E143) is uncertain due to differing opinions among scholars regarding the permissibility of synthetic food colorings in Islam. Some consider it permissible if it does not contain any haram substances, while others are more cautious due to the artificial nature and potential health concerns.","['e143', 'green-s', 'food green s', 'brilliant green bs', 'lissamine green']"
e152,Carbon Black,A black coloring agent.,uncertain,"The ruling is uncertain because some sources indicate that it is derived from vegetable matter, while others suggest it can be derived from animal by-products. Further investigation is needed to determine the source.","['e152', 'carbon black']"
e153,Vegetable Carbon,A black pigment produced by the incomplete combustion of vegetable matter.,halal,Vegetable carbon is derived from plant-based sources and does not involve any haram substances in its production.,"['e153', 'vegetable carbon', 'carbon black (vegetable origin)', 'plant-based carbon']"
brown-fk,Brown FK,A synthetic food coloring.,haram,"Brown FK contains diazo dyes, which are prohibited in Islam due to health concerns and lack of necessity.","['brown-fk', 'e154']"
e164,Brown HT,A synthetic brown diazo dye. It is used as a food coloring.,uncertain,The halal status of Brown HT (E155) is uncertain due to the possibility of animal-derived ingredients being used in its manufacturing process. Further investigation into the specific source and production method is needed to determine its permissibility.,"['e164', 'brown-ht']"
e171,Titanium Dioxide,A white food coloring used to enhance the brightness and whiteness of various food products.,halal,Titanium dioxide is a mineral oxide and is considered halal.,"['e171', 'titanium dioxide', 'titanium oxide', 'ci 77891']"
e175,Gold,A food coloring agent that imparts a gold color to food products.,halal,Gold is a naturally occurring mineral and is considered halal.,"['e175', 'gold']"
e172,Iron Oxides and Hydroxides,"A group of food colorings that provide yellow, red, and black hues.",halal,Iron oxides and hydroxides are mineral-based and are considered halal.,"['e172', 'iron oxides and hydroxides', 'iron oxide yellow', 'iron oxide red', 'iron oxide black']"
e174,Silver,A food coloring agent that imparts a silver color to food products.,halal,Silver is a naturally occurring mineral and is considered halal.,"['e174', 'silver']"
e173,Aluminium,A food coloring agent that imparts a silver-grey color to food products.,halal,Aluminium is a naturally occurring mineral and is considered halal.,"['e173', 'aluminium', 'aluminum']"
e170,Calcium Carbonate,"A white, odorless powder used as a food additive for various purposes, including as an anticaking agent, color retention agent, firming agent, stabilizer, or thickener.",halal,Calcium carbonate is a mineral and is considered halal.,"['e170', 'calcium carbonate']"
e180,Lithol Rubine BK,A red synthetic dye used in food coloring.,uncertain,The halal status of synthetic food colorings like Lithol Rubine BK (E180) can be uncertain due to variations in manufacturing processes and potential use of non-halal ingredients. Further investigation into the specific source and production method is needed to determine its halal status.,"['e180', 'lithol rubine bk', 'ci pigment red 57', 'ci 15850']"
e181,E181,A food additive with various uses.,uncertain,"Since E181 does not correspond to any known food additive with a clear halal or haram status, its ruling is uncertain. Further investigation is needed to determine its source and processing.",['e181']
e182,Orcein,"A natural dye derived from lichens, used to impart purple or reddish-purple color to food products.",halal,"Orcein is extracted from lichens through a fermentation process. Lichens are considered halal, and the extraction process does not introduce any haram substances.","['orcein', 'e182', 'natural red 28']"
e1908,E1908,This code is not a recognized food additive or ingredient.,uncertain,The provided code does not correspond to any known food additive or ingredient with a defined halal or haram status. Further investigation is needed to determine its source and composition.,['e1908']
e1909,E1909,This code is not a recognized food additive or ingredient.,uncertain,The provided code does not correspond to any known food additive or ingredient with a defined halal or haram status. Further investigation is needed to determine its source and composition.,['e1909']
e1913,E1913,Food colorant,uncertain,No definitive information is available to determine the halal status of E1913. Further investigation is needed to ascertain its source and processing.,['e1913']
e1915,E1915,Food colorant,uncertain,No definitive information is available to determine the halal status of E1915. Further investigation is needed to ascertain its source and processing.,['e1915']
tartrazine,Tartrazine,A synthetic lemon yellow azo dye used as a food coloring.,halal,"Tartrazine is a synthetic food coloring and does not contain any animal derivatives or prohibited substances, making it halal.","['tartrazine', 'e1914', 'fd&c yellow 5', 'yellow 5']"
e1916,E1916,Food colorant,uncertain,No definitive information is available to determine the halal status of E1916. Further investigation is needed to ascertain its source and processing.,['e1916']
e1912,E1912,Food colorant,uncertain,No definitive information is available to determine the halal status of E1912. Further investigation is needed to ascertain its source and processing.,['e1912']
e1917,E1917,Food colorant,uncertain,No definitive information is available to determine the halal status of E1917. Further investigation is needed to ascertain its source and processing.,['e1917']
e2007,Not applicable,This code is not a valid food additive code.,uncertain,The code E2007 is not a recognized food additive code. It does not correspond to any known substance with a defined halal or haram status.,['e2007']
e2001,Sodium Ascorbate,"Sodium ascorbate is a sodium salt of ascorbic acid (vitamin C), used as an antioxidant and acidity regulator in food.",halal,Sodium ascorbate is generally considered halal as it is a salt of ascorbic acid (vitamin C) and does not contain any haram substances.,"['e2001', 'sodium ascorbate']"
e2000,Not applicable,This code is not a valid food additive code.,uncertain,The code E2000 is not a recognized food additive code. It does not correspond to any known substance with a defined halal or haram status.,['e2000']
e2002,Potassium Sorbate,"Potassium sorbate is a food preservative used to inhibit molds and yeasts in many foods, such as cheese, wine, yogurt, dried meats, and baked goods.",halal,Potassium sorbate is generally considered halal as it is a synthetic salt derived from sorbic acid and does not contain any haram substances.,"['e2002', 'potassium sorbate']"
e200,Sorbic Acid,"Sorbic acid is a natural organic compound used as a food preservative. It inhibits the growth of mold, yeast, and fungi, and is used in a variety of foods.",halal,Sorbic acid is generally considered halal as it is either derived from natural sources or produced synthetically without the use of any haram substances.,"['e200', 'sorbic acid']"
e2005,Not applicable,This code is not a valid food additive code.,uncertain,The code E2005 is not a recognized food additive code. It does not correspond to any known substance with a defined halal or haram status.,['e2005']
e2006,Not applicable,This code is not a valid food additive code.,uncertain,The code E2006 is not a recognized food additive code. It does not correspond to any known substance with a defined halal or haram status.,['e2006']
e2003,Calcium Sorbate,Calcium sorbate is a preservative used in food products to prevent the growth of mold and fungi.,halal,Calcium sorbate is generally considered halal as it is a salt of sorbic acid and does not contain any haram substances.,"['e2003', 'calcium sorbate']"
e2004,Not applicable,This code is not a valid food additive code.,uncertain,The code E2004 is not a recognized food additive code. It does not correspond to any known substance with a defined halal or haram status.,['e2004']
e212,Potassium Benzoate,A preservative used in food and beverage products.,halal,"Potassium benzoate is a salt of benzoic acid, produced synthetically. Benzoic acid can be found naturally in some fruits. As a synthetic compound or when derived from natural, halal sources, it is considered halal unless produced with haram ingredients.","['e212', 'potassium benzoate']"
e209,Heptylparaben,A preservative used in cosmetics and pharmaceuticals.,uncertain,"The halal status of heptylparaben is uncertain due to the potential use of non-halal alcohol in its production. Without specific information on the source and production method, it is difficult to determine its permissibility.","['e209', 'heptylparaben']"
e210,Benzoic Acid,A preservative used in food and beverage products.,halal,"Benzoic acid occurs naturally in many plants and can also be chemically synthesized. As such, it is halal unless produced using haram substances.","['e210', 'benzoic acid']"
e211,Sodium Benzoate,A preservative used in food and beverage products.,halal,"Sodium benzoate is the sodium salt of benzoic acid, created by reacting benzoic acid with sodium hydroxide. Benzoic acid can be found naturally in some fruits. As a synthetic compound or when derived from natural, halal sources, it is considered halal unless produced with haram ingredients.","['e211', 'sodium benzoate']"
e220,Sulphur Dioxide,"A preservative used in dried fruits, wines, and processed foods.",halal,Sulphur dioxide is an inorganic salt and is permissible for consumption.,"['e220', 'sulfur dioxide', 'sulphur dioxide']"
e222,Sodium Bisulphite,A food preservative and antioxidant.,halal,Sodium bisulphite is an inorganic salt and is permissible for consumption.,"['e222', 'sodium bisulphite', 'sodium bisulfite']"
e217,"Propyl p-Hydroxybenzoate, Sodium Salt",A preservative used in cosmetics and pharmaceuticals.,uncertain,The ruling is uncertain due to conflicting opinions regarding the source and processing of the ingredient.,"['e217', 'propyl p-hydroxybenzoate, sodium salt']"
e219,Propyl p-Hydroxybenzoate,A preservative used in cosmetics and pharmaceuticals.,uncertain,The ruling is uncertain due to conflicting opinions regarding the source and processing of the ingredient.,"['e219', 'propyl p-hydroxybenzoate']"
e218,Methyl p-Hydroxybenzoate,A preservative used in cosmetics and pharmaceuticals.,uncertain,The ruling is uncertain due to conflicting opinions regarding the source and processing of the ingredient.,"['e218', 'methyl p-hydroxybenzoate']"
e216,Propylparaben,A preservative used in food and cosmetic products.,uncertain,The ruling is uncertain due to conflicting opinions regarding the source and processing of the ingredient.,"['e216', 'propyl paraben', 'propylparaben']"
e221,Sodium Sulfite,A preservative used in food and beverage products.,halal,Sodium sulfite is an inorganic salt and is permissible for consumption.,"['e221', 'sodium sulfite', 'sodium sulphite']"
e215,"Ethyl p-Hydroxybenzoate, Sodium Salt",A preservative used in cosmetics and pharmaceuticals.,uncertain,The ruling is uncertain due to conflicting opinions regarding the source and processing of the ingredient.,"['e215', 'ethyl p-hydroxybenzoate, sodium salt']"
